"datetime","do_mgl_1m","do_sat_1m","do_mgl_14m","do_sat_14m","par_9m","temp_1m","temp_2m","temp_4m","temp_5m","temp_6m","temp_7m","temp_8m","temp_9m","temp_10m","temp_11m","temp_12m","temp_13m","temp_14m","atm_pressure_mbar","par_surface","temp_air","RH","wind_speed","gust_speed","wind_dir"
"2025-06-29 11:30:00",7.907,105.97396241347,0.054,0.586769637311459,123.5,13.244,13.6699074074074,13.5416666666667,11.7706481481481,9.50527777777778,7.74888888888889,6.57277777777778,5.736,5.86,5.36435185185185,5.26111111111111,4.93388888888889,4.637,725.803335561342,1811.2,63.295,34.508,3.74,10.47,331.3
"2025-06-29 11:40:00",7.899,106.094692473631,0.055,0.597779266649212,124.8,13.34,13.7339814814815,13.4772222222222,11.9643518518519,9.24194444444445,7.61555555555555,6.57277777777778,5.706,5.86,5.43287037037037,5.33,4.93388888888889,4.647,725.819306157187,1841.2,63.914,29.526,3.74,8.21,306.1
"2025-06-29 11:50:00",7.905,106.273035133966,0.054,0.586677406254243,136.2,13.375,13.75,13.4611111111111,12.1583333333333,9.07694444444444,7.73222222222223,6.67388888888889,5.676,5.91111111111111,5.50111111111111,5.29555555555555,4.93388888888889,4.627,725.727848336824,1883.7,64.261,34.992,3,7.47,290.6
"2025-06-29 12:00:00",7.904,106.373099311728,0.053,0.576041052979649,139,13.428,13.7660185185185,13.4772222222222,12.3038888888889,9.04361111111111,7.93222222222223,6.75814814814815,5.785,5.94518518518519,5.51805555555556,5.22675925925926,4.93388888888889,4.647,725.820284682101,1901.2,63.952,33.611,4.47,8.97,271
"2025-06-29 12:10:00",7.902,106.409246445787,0.053,0.575893130985589,143.9,13.454,13.8300925925926,13.5416666666667,12.3038888888889,9.30694444444444,8.13222222222223,6.69074074074074,5.795,5.87703703703704,5.38138888888889,5.15824074074074,4.93388888888889,4.637,725.816291952832,1923.7,63.797,36.603,3.74,8.97,283.6
"2025-06-29 12:20:00",7.898,106.473731322368,0.053,0.575960988869545,145.4,13.498,13.8461111111111,13.5577777777778,12.0130555555556,9.37277777777778,8.03222222222222,6.67388888888889,5.765,5.91111111111111,5.50111111111111,5.1925,4.98555555555556,4.637,725.731778261399,1946.2,64.414,35.995,2.24,5.97,303.2
"2025-06-29 12:30:00",7.91,106.574434474801,0.053,0.576271245835948,149.3,13.472,13.8940740740741,13.5577777777778,11.7060185185185,9.37277777777778,7.86555555555556,6.65703703703704,5.785,5.96222222222222,5.62083333333334,5.22675925925926,5.02,4.657,725.72188247192,1973.7,64.029,32.932,3,9.71,308.9
"2025-06-29 12:40:00",7.908,106.58927451998,0.053,0.576276045851044,145.9,13.489,14.0859259259259,13.5577777777778,11.6412037037037,9.37277777777778,7.79888888888889,6.58962962962963,5.785,5.96222222222222,5.48416666666667,5.15824074074074,4.95111111111111,4.657,725.715908440739,1988.7,63.797,37.983,4.47,10.47,317.3
"2025-06-29 12:50:00",7.909,106.702193016816,0.054,0.586616098716104,146.4,13.524,14.1819444444444,13.5094444444444,11.5280555555556,9.37277777777778,7.78222222222222,6.62333333333333,5.736,5.96222222222222,5.34694444444444,5.08916666666667,4.8825,4.617,725.614545779512,2006.2,63.759,33.931,3.74,11.21,331.3
"2025-06-29 13:00:00",7.905,106.736307777916,0.053,0.575809030534346,155.3,13.568,14.23,13.4450925925926,11.4957407407407,9.38935185185185,7.83222222222222,6.72453703703704,5.745,5.96222222222222,5.24388888888889,5.02,4.83111111111111,4.627,725.73280510881,2026.2,64.454,29.847,3,8.21,315.9
"2025-06-29 13:10:00",7.903,106.770654015675,0.052,0.564938487918502,160.4,13.594,14.23,13.3810185185185,11.7542592592593,9.45564814814815,8.03222222222222,6.92712962962963,5.815,5.96222222222222,5.24388888888889,4.95111111111111,4.83111111111111,4.627,725.740703739672,2028.7,64.762,29.49,5.23,14.2,314.5
"2025-06-29 13:20:00",7.897,106.833282460969,0.052,0.565332914525668,164.1,13.646,14.1819444444444,13.4130555555556,11.9644444444444,9.62,8.23222222222222,6.97777777777778,5.855,5.96222222222222,5.24388888888889,4.93388888888889,4.83111111111111,4.647,725.616555374809,2038.7,63.837,33.588,4.47,8.97,321.5
"2025-06-29 13:30:00",7.902,106.801163041909,0.052,0.56480660113777,165.2,13.611,14.1178703703704,13.4611111111111,12.1262037037037,9.81694444444445,8.44833333333333,6.96101851851852,5.865,5.94518518518519,5.24388888888889,4.93388888888889,4.83111111111111,4.617,725.719900617796,2043.7,63.952,26.841,4.47,12.71,328.5
