"sample_number","site_id","lake","site_type","sample_date","sample_type","method","result","sample_status","status","total_mc","toxin_richness","rr","yr","lr","la","dm_lr","ly","nod","lf","wr","atx","hatx","cyl","notes"
328,"BKS_RN_BU_SS","rainbow","buoy_surface",2025-09-02,"regular","SPATT",TRUE,"detected","Shipped",157.26215389,2,0,0,146.6890272,0,10.57312669,0,0,0,0,0,0,0,NA
329,"BKS_RN_BU_DD","rainbow","buoy_depth",2025-09-02,"regular","SPATT",TRUE,"detected","Shipped",57.096346689,3,0,13.92149794,39.53286035,0,3.641988399,0,0,0,0,0,0,0,NA
330,"BKS_LJ_BU_SS","lower jade","buoy_surface",2025-09-02,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
331,"BKS_LJ_BU_DD","lower jade","buoy_depth",2025-09-02,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
332,"Brooks Dup",NA,NA,2025-09-02,"Duplicate","SPATT",FALSE,"not_analyzed","Not collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"BYS_BR_SH_01","boysen","shore",2025-09-01,"regular","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"BYS_PC_SH_02","boysen","shore",2025-09-01,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,"BYS_FR_SH_03","boysen","shore",2025-09-01,"regular","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"BYS_CR_SH_04","boysen","shore",2025-09-01,"regular","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"BYS_CR_SH_04","boysen","shore",2025-09-01,"duplicate","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,"SPATT_BLANK","blank","blank",2025-09-01,"blank","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"BKS_BL_SH_01","brooks","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",0.497816348,2,0.085108061,0,0.412708287,0,0,0,0,0,0,0,0,0,NA
340,"BKS_BL_SH_02","brooks","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",0.875881504,1,0,0,0,0,0.875881504,0,0,0,0,0,0,0,NA
341,"BKS_BL_SH_03","brooks","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",2.564694913,1,0,0,0,0,2.564694913,0,0,0,0,0,0,0,NA
342,"BKS_BL_SH_04","brooks","shore",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",4.218424949,1,0,0,0,0,4.218424949,0,0,0,0,0,0,0,NA
343,"BKS_BL_SH_05","brooks","shore",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",1.769805886,1,0,0,0,0,1.769805886,0,0,0,0,0,0,0,NA
344,"BKS_BL_SH_06","brooks","shore",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",3.333467132,2,0.148297681,0,0,0,3.185169451,0,0,0,0,0,0,0,NA
345,"BKS_BL_SH_07","brooks","shore",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",1.97990518,1,0,0,0,0,1.97990518,0,0,0,0,0,0,0,NA
346,"BKS_BL_BON","tributary","tributary",2025-09-02,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,"BKS_BL_CREEK","tributary","tributary",2025-09-02,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"BKS_BL_BU_SS","brooks","buoy_surface",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",0.260458471,1,0,0,0.260458471,0,0,0,0,0,0,0,0,0,NA
349,"BKS_BL_BU_DD","brooks","buoy_depth",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
350,"BKS_UB_SH_08","upper brooks","shore",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
351,"BKS_UB_SH_09","upper brooks","shore",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",1.482322691,1,0,0,0,0,1.482322691,0,0,0,0,0,0,0,NA
352,"BKS_UB_BU_SS","upper brooks","buoy_surface",2025-09-02,"regular","GRAB",TRUE,"detected","Shipped",1.498962235,1,0,0,0,0,1.498962235,0,0,0,0,0,0,0,NA
353,"BKS_UB_BU_DD","upper brooks","buoy_depth",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
354,"BKS_RN_SH_10","rainbow","shore",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
355,"BKS_RN_BU_SS","rainbow","buoy_surface",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
356,"BKS_RN_BU_DD","rainbow","buoy_depth",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
357,"BKS_LJ_BU_SS","lower jade","buoy_surface",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
