sample_number,site_id,date,sample_type,method,rr,yr,lr,la,dm_lr,ly,nod,lf,wr,atx,hatx,cyl,ng_m_l,lake,site_type,depth_category,ng_g_resin
417,BYS_PC_SH_02,2025-09-16,regular,grab,0,0,0,0,5.041982105,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
418,BYS_FR_SH_03,2025-09-16,regular,grab,0,0,0,5.719054712,4.604342068,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
419,BYS_CR_SH_04,2025-09-16,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
420,BYS_CR_SH_04,2025-09-16,duplicate,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
421,GRAB_BLANK,2025-09-16,blank,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,blank,NA,NA,NA
449,BKS_BL_SH_01,2025-09-29,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
450,BKS_BL_SH_02,2025-09-29,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
451,BKS_BL_SH_03,2025-09-29,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
452,BKS_BL_SH_04,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
453,BKS_BL_SH_05,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
454,BKS_BL_SH_06,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
455,BKS_BL_SH_07,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,1.318490774,0,0,NA,brooks,shore,NA,NA
458,BKS_BL_BU_SS,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
459,BKS_BL_BU_DD,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
460,BKS_UB_SH_08,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
461,BKS_UB_SH_09,2025-09-30,regular,grab,0.199061964,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
462,BKS_UB_BU_SS,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
463,BKS_UB_BU_DD,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
464,BKS_RN_SH_10,2025-09-30,regular,grab,0,0.844950339,37.45085004,0,2.096181507,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
465,BKS_RN_BU_SS,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
466,BKS_RN_BU_DD,2025-09-30,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,bottom,NA
467,BKS_LJ_BU_SS,2025-10-01,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
468,BKS_LJ_BU_DD,2025-10-01,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
469,BKS_BL_SH_03,2025-09-30,regular,grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thawed in broken bottle - no sample to analyze,brooks,shore,NA,NA
504,BKS_BL_SH_01,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
505,BKS_BL_SH_02,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
506,BKS_BL_SH_03,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
507,BKS_BL_SH_04,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
508,BKS_BL_SH_05,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
509,BKS_BL_SH_06,2025-10-14,regular,grab,0,0,20.62286498,0,2.422156175,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
510,BKS_BL_SH_07,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
513,BKS_BL_BU_SS,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
514,BKS_BL_BU_DD,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
515,BKS_UB_SH_08,2025-10-15,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
516,BKS_UB_SH_09,2025-10-15,regular,grab,0,0,238.3808274,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
517,BKS_UB_BU_SS,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
518,BKS_UB_BU_DD,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
519,BKS_RN_SH_10,2025-10-15,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
520,BKS_RN_BU_SS,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
521,BKS_RN_BU_DD,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,bottom,NA
522,BKS_LJ_BU_SS,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
523,BKS_LJ_BU_DD,2025-10-14,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
064,BKS_BL_SH_01,2025-07-21,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
065,BKS_BL_SH_02,2025-07-21,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
066,BKS_BL_SH_03,2025-07-21,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
067,BKS_BL_SH_04,2025-07-21,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
072,BKS_BL_SH_05,2025-07-23,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
073,BKS_BL_SH_06,2025-07-23,regular,spatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brooks,shore,NA,NA
074,BKS_BL_SH_07,2025-07-23,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
079,BKS_BL_BU_SS,2025-07-23,regular,spatt,0,0,2.466857431,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
088,BKS_BL_BU_DD,2025-07-23,regular,spatt,0.503122303,0,2.357149166,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
090,BKS_UB_SH_09,2025-07-22,regular,spatt,0,0,0,0,11.83345515,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
091,BKS_UB_BU_SS,2025-07-22,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
095,BKS_UB_BU_DD,2025-07-22,regular,spatt,0,0,5.861104874,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
096,BKS_BL_SH_01,2025-07-08,regular,spatt,0,0,5.080913362,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
097,BKS_BL_SH_02,2025-07-08,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
098,BKS_BL_SH_03,2025-07-08,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
099,BKS_BL_SH_04,2025-07-08,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
100,BKS_BL_SH_05,2025-07-08,regular,spatt,0,0,3.280592837,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
101,BKS_BL_SH_06,2025-07-08,regular,spatt,0,0,0,0,0,0,0.424888747,0,0,0,0,0,NA,brooks,shore,NA,NA
102,BKS_BL_SH_07,2025-07-08,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
103,BKS_RN_SH_10,2025-07-22,regular,spatt,0,0,76.00336048,0,9.12134324,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
104,BKS_RN_BU_SS,2025-07-22,regular,spatt,0,0,66.48360336,0,7.41495473,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
105,BKS_BL_BU_SS,2025-07-08,regular,spatt,0,0,2.496454985,0,0,0,0.758347213,0,0,0,0,0,NA,brooks,buoy,surface,NA
106,BKS_BL_BU_DD,2025-07-08,regular,spatt,0,0,2.406478422,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
107,BKS_UB_SH_08,2025-07-09,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
109,BKS_UB_BU_SS,2025-07-09,regular,spatt,0.446676819,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
110,BKS_UB_BU_DD,2025-07-09,regular,spatt,0.770932913,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
111,BKS_RN_SH_10,2025-07-09,regular,spatt,0.492492959,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
112,BKS_RN_BU_SS,2025-07-09,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
