sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
098,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,spatt,microcystin,FALSE
098,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,spatt,nodularin,FALSE
099,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,spatt,anatoxin,FALSE
099,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
099,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,spatt,microcystin,FALSE
099,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,spatt,nodularin,FALSE
100,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,spatt,anatoxin,FALSE
100,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
100,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,spatt,microcystin,TRUE
100,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,spatt,nodularin,FALSE
101,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,spatt,anatoxin,FALSE
101,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
101,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,spatt,microcystin,FALSE
101,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,spatt,nodularin,TRUE
102,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,spatt,anatoxin,FALSE
102,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
102,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,spatt,microcystin,FALSE
102,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,spatt,nodularin,FALSE
103,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,spatt,anatoxin,FALSE
103,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,spatt,cylindrospermopsin,FALSE
103,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,spatt,microcystin,TRUE
103,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,spatt,nodularin,FALSE
104,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,spatt,anatoxin,FALSE
104,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,spatt,cylindrospermopsin,FALSE
104,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,spatt,microcystin,TRUE
104,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,spatt,nodularin,FALSE
105,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,spatt,anatoxin,FALSE
105,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
105,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,spatt,microcystin,TRUE
105,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,spatt,nodularin,TRUE
