MiniDOT Logger Concatenated Data File
Sensor:             7450-987229
Concatenation Date: 2025Oct27 13:40:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750828980,           2025-06-25 05:23:00,           2025-06-24 23:23:00,      3.520000,      4.567000,          0.115000,                     0.890486,      0.977000
                1750829580,           2025-06-25 05:33:00,           2025-06-24 23:33:00,      3.520000,      4.577000,          0.090000,                     0.697083,      0.977000
                1750830180,           2025-06-25 05:43:00,           2025-06-24 23:43:00,      3.520000,      4.567000,          0.075000,                     0.580752,      0.977000
                1750830780,           2025-06-25 05:53:00,           2025-06-24 23:53:00,      3.520000,      4.587000,          0.078000,                     0.604296,      0.977000
                1750831380,           2025-06-25 06:03:00,           2025-06-25 00:03:00,      3.520000,      4.567000,          0.070000,                     0.542035,      0.977000
                1750831980,           2025-06-25 06:13:00,           2025-06-25 00:13:00,      3.520000,      4.557000,          0.071000,                     0.549635,      0.977000
                1750832580,           2025-06-25 06:23:00,           2025-06-25 00:23:00,      3.520000,      4.587000,          0.078000,                     0.604296,      0.977000
                1750833180,           2025-06-25 06:33:00,           2025-06-25 00:33:00,      3.520000,      4.577000,          0.087000,                     0.673847,      0.977000
                1750833780,           2025-06-25 06:43:00,           2025-06-25 00:43:00,      3.520000,      4.577000,          0.088000,                     0.681593,      0.977000
                1750834380,           2025-06-25 06:53:00,           2025-06-25 00:53:00,      3.510000,      4.577000,          0.086000,                     0.666102,      0.977000
                1750834980,           2025-06-25 07:03:00,           2025-06-25 01:03:00,      3.510000,      4.577000,          0.078000,                     0.604139,      0.977000
                1750835580,           2025-06-25 07:13:00,           2025-06-25 01:13:00,      3.510000,      4.567000,          0.103000,                     0.797565,      0.977000
                1750836180,           2025-06-25 07:23:00,           2025-06-25 01:23:00,      3.510000,      4.557000,          0.126000,                     0.975409,      0.977000
                1750836780,           2025-06-25 07:33:00,           2025-06-25 01:33:00,      3.510000,      4.546000,          0.134000,                     1.037042,      0.977000
                1750837380,           2025-06-25 07:43:00,           2025-06-25 01:43:00,      3.510000,      4.567000,          0.236000,                     1.827432,      0.978000
                1750837980,           2025-06-25 07:53:00,           2025-06-25 01:53:00,      3.510000,      4.567000,          0.250000,                     1.935839,      0.978000
                1750838580,           2025-06-25 08:03:00,           2025-06-25 02:03:00,      3.510000,      4.577000,          0.224000,                     1.734963,      0.978000
                1750839180,           2025-06-25 08:13:00,           2025-06-25 02:13:00,      3.510000,      4.567000,          0.198000,                     1.533184,      0.978000
                1750839780,           2025-06-25 08:23:00,           2025-06-25 02:23:00,      3.510000,      4.577000,          0.161000,                     1.247005,      0.978000
                1750840380,           2025-06-25 08:33:00,           2025-06-25 02:33:00,      3.510000,      4.587000,          0.132000,                     1.022655,      0.977000
                1750840980,           2025-06-25 08:43:00,           2025-06-25 02:43:00,      3.510000,      4.557000,          0.148000,                     1.145718,      0.977000
                1750841580,           2025-06-25 08:53:00,           2025-06-25 02:53:00,      3.510000,      4.577000,          0.178000,                     1.378676,      0.978000
                1750842180,           2025-06-25 09:03:00,           2025-06-25 03:03:00,      3.510000,      4.557000,          0.203000,                     1.571492,      0.978000
                1750842780,           2025-06-25 09:13:00,           2025-06-25 03:13:00,      3.510000,      4.577000,          0.223000,                     1.727218,      0.978000
                1750843380,           2025-06-25 09:23:00,           2025-06-25 03:23:00,      3.510000,      4.577000,          0.204000,                     1.580056,      0.978000
                1750843980,           2025-06-25 09:33:00,           2025-06-25 03:33:00,      3.510000,      4.567000,          0.277000,                     2.144909,      0.977000
                1750844580,           2025-06-25 09:43:00,           2025-06-25 03:43:00,      3.510000,      4.557000,          0.625000,                     4.838336,      0.981000
                1750845180,           2025-06-25 09:53:00,           2025-06-25 03:53:00,      3.510000,      4.546000,          0.489000,                     3.784430,      0.980000
                1750845780,           2025-06-25 10:03:00,           2025-06-25 04:03:00,      3.510000,      4.546000,          0.205000,                     1.586520,      0.978000
                1750846380,           2025-06-25 10:13:00,           2025-06-25 04:13:00,      3.510000,      4.557000,          0.132000,                     1.021857,      0.977000
                1750846980,           2025-06-25 10:23:00,           2025-06-25 04:23:00,      3.510000,      4.546000,          0.163000,                     1.261477,      0.977000
                1750847580,           2025-06-25 10:33:00,           2025-06-25 04:33:00,      3.510000,      4.557000,          0.118000,                     0.913478,      0.977000
                1750848180,           2025-06-25 10:43:00,           2025-06-25 04:43:00,      3.510000,      4.577000,          0.120000,                     0.929444,      0.977000
                1750848780,           2025-06-25 10:53:00,           2025-06-25 04:53:00,      3.510000,      4.567000,          0.120000,                     0.929203,      0.977000
                1750849380,           2025-06-25 11:03:00,           2025-06-25 05:03:00,      3.510000,      4.577000,          0.124000,                     0.960426,      0.977000
                1750849980,           2025-06-25 11:13:00,           2025-06-25 05:13:00,      3.510000,      4.567000,          0.092000,                     0.712389,      0.977000
                1750850580,           2025-06-25 11:23:00,           2025-06-25 05:23:00,      3.510000,      4.577000,          0.096000,                     0.743556,      0.977000
                1750851180,           2025-06-25 11:33:00,           2025-06-25 05:33:00,      3.510000,      4.567000,          0.094000,                     0.727875,      0.977000
                1750851780,           2025-06-25 11:43:00,           2025-06-25 05:43:00,      3.510000,      4.567000,          0.116000,                     0.898229,      0.977000
                1750852380,           2025-06-25 11:53:00,           2025-06-25 05:53:00,      3.510000,      4.557000,          0.112000,                     0.867030,      0.977000
                1750852980,           2025-06-25 12:03:00,           2025-06-25 06:03:00,      3.510000,      4.567000,          0.108000,                     0.836282,      0.977000
                1750853580,           2025-06-25 12:13:00,           2025-06-25 06:13:00,      3.510000,      4.567000,          0.129000,                     0.998893,      0.977000
                1750854180,           2025-06-25 12:23:00,           2025-06-25 06:23:00,      3.510000,      4.587000,          0.121000,                     0.937434,      0.977000
                1750854780,           2025-06-25 12:33:00,           2025-06-25 06:33:00,      3.510000,      4.567000,          0.110000,                     0.851769,      0.977000
                1750855380,           2025-06-25 12:43:00,           2025-06-25 06:43:00,      3.500000,      4.587000,          0.111000,                     0.859960,      0.977000
                1750855980,           2025-06-25 12:53:00,           2025-06-25 06:53:00,      3.510000,      4.567000,          0.119000,                     0.921459,      0.977000
                1750856580,           2025-06-25 13:03:00,           2025-06-25 07:03:00,      3.510000,      4.557000,          0.119000,                     0.921219,      0.977000
                1750857180,           2025-06-25 13:13:00,           2025-06-25 07:13:00,      3.500000,      4.577000,          0.136000,                     1.053370,      0.977000
                1750857780,           2025-06-25 13:23:00,           2025-06-25 07:23:00,      3.500000,      4.577000,          0.154000,                     1.192787,      0.977000
                1750858380,           2025-06-25 13:33:00,           2025-06-25 07:33:00,      3.500000,      4.577000,          0.186000,                     1.440639,      0.978000
                1750858980,           2025-06-25 13:43:00,           2025-06-25 07:43:00,      3.500000,      4.567000,          0.175000,                     1.355087,      0.978000
                1750859580,           2025-06-25 13:53:00,           2025-06-25 07:53:00,      3.500000,      4.567000,          0.166000,                     1.285397,      0.977000
                1750860180,           2025-06-25 14:03:00,           2025-06-25 08:03:00,      3.500000,      4.546000,          0.145000,                     1.122172,      0.977000
                1750860780,           2025-06-25 14:13:00,           2025-06-25 08:13:00,      3.500000,      4.577000,          0.145000,                     1.123079,      0.977000
                1750861380,           2025-06-25 14:23:00,           2025-06-25 08:23:00,      3.500000,      4.587000,          0.112000,                     0.867707,      0.977000
                1750861980,           2025-06-25 14:33:00,           2025-06-25 08:33:00,      3.500000,      4.577000,          0.103000,                     0.797773,      0.977000
                1750862580,           2025-06-25 14:43:00,           2025-06-25 08:43:00,      3.500000,      4.577000,          0.130000,                     1.006898,      0.977000
