date,wind_speed_mean_ms,wind_speed_max_ms,gust_speed_max_ms,wind_from_mean_deg,wind_from_mean,wind_to_mean_deg,wind_to_mean,dominant_wind_from,dominant_wind_to
2025-06-29,2.035885580487805,3.3393888,7.6801471999999995,315.23078065085326,NW,135.23078065085326,SE,NW,SE
2025-06-30,0.7590987555555556,2.6688288,7.6801471999999995,210.86724859607625,SW,30.86724859607625,NE,SE,NW
2025-07-01,0.6472766666666667,3.0085792000000002,8.6815168,257.6755449387088,W,77.67554493870881,E,SW,NE
2025-07-02,0.686547888888889,3.3393888,7.0095871999999995,220.570715345796,SW,40.570715345795975,NE,SW,NE
2025-07-03,0.5591725333333334,2.3380192,6.347968,217.1541303258162,SW,37.1541303258162,NE,W,E
2025-07-04,0.7423968444444445,3.6701984000000003,8.0198976,272.07989145188964,W,92.07989145188964,E,NW,SE
2025-07-05,0.9044178,3.3393888,9.678415999999999,231.3277639732221,SW,51.32776397322209,NE,SW,NE
2025-07-06,0.9280115777777779,3.3393888,9.3520768,263.3014906510404,W,83.30149065104041,E,NW,SE
2025-07-07,0.8047030444444445,3.0085792000000002,10.0181664,279.34608379103713,W,99.34608379103713,E,W,E
2025-07-08,1.0196237333333333,3.6701984000000003,8.6815168,246.00865178903263,SW,66.00865178903263,NE,NW,SE
2025-07-09,0.7263779111111112,2.6688288,7.3493376,232.8381020852282,SW,52.83810208522823,NE,SW,NE
2025-07-10,0.8928692666666667,3.0085792000000002,7.3493376,285.5843262489558,W,105.58432624895579,E,W,E
2025-07-11,1.0384677111111111,3.0085792000000002,7.6801471999999995,158.63535346761796,S,338.63535346761796,N,SE,NW
2025-07-12,1.0016800444444445,4.0099488,8.6815168,229.1889461418796,SW,49.18894614187957,NE,S,N
2025-07-13,0.9203125555555556,3.6701984000000003,8.0198976,266.6948722007629,W,86.69487220076292,E,NW,SE
2025-07-14,0.6660585555555556,2.3380192,7.0095871999999995,276.9519090231815,W,96.95190902318149,E,W,E
2025-07-15,1.1597583555555555,5.6818784,14.028115199999998,324.96700768160434,NW,144.96700768160434,SE,NW,SE
