wind_from,n,prop
SW,3233,0.20939119170984455
S,3174,0.2055699481865285
NW,2237,0.14488341968911916
W,2089,0.1352979274611399
SE,1930,0.125
N,1702,0.11023316062176165
E,711,0.04604922279792746
NE,364,0.023575129533678758
