date,n_obs,air_temp_mean_c,air_temp_min_c,air_temp_max_c,relative_humidity_mean_pct,pressure_mean_kpa,par_mean_umol_m2_s,par_max_umol_m2_s,wind_speed_mean_ms,wind_speed_max_ms,gust_speed_max_ms,wind_from_mean_deg,wind_to_mean_deg,dominant_wind_from,dominant_wind_to,wind_from_mean,wind_to_mean
2025-06-29,41,18.15280487804878,17.343888888888888,19.423888888888886,29.41751219512195,73.42185785473171,1797.0536585365853,2043.7,2.035885580487805,3.3393888,7.6801471999999995,315.23078065085326,135.23078065085326,NW,SE,NW,SE
2025-06-30,144,11.417137345679013,0.9999999999999984,23.521111111111107,57.78546527777778,73.65113699173611,707.9361111111111,2183.7,0.7590987555555556,2.6688288,7.6801471999999995,210.86724859607625,30.86724859607625,SE,NW,SW,NE
2025-07-01,144,12.959413580246913,1.8800000000000001,23.71388888888889,55.30947916666667,73.53980471716667,497.5888888888889,2328.7,0.6472766666666667,3.0085792000000002,8.6815168,257.6755449387088,77.67554493870881,SW,NE,W,E
2025-07-02,144,12.87212962962963,3.058888888888889,21.612222222222222,56.78018055555555,73.42470978704166,411.825,2553.7,0.686547888888889,3.3393888,7.0095871999999995,220.570715345796,40.570715345795975,SW,NE,SW,NE
2025-07-03,144,10.794525462962962,3.8311111111111114,16.63611111111111,69.23084027777777,73.20352443186806,266.1826388888889,1618.7,0.5591725333333334,2.3380192,6.347968,217.1541303258162,37.1541303258162,W,E,SW,NE
2025-07-04,144,9.5853125,3.1238888888888874,16.077777777777776,78.7341875,73.18879128370834,393.14444444444445,2553.7,0.7423968444444445,3.6701984000000003,8.0198976,272.07989145188964,92.07989145188964,NW,SE,W,E
2025-07-05,144,9.707824074074074,-0.35111111111111193,18.43722222222222,69.04824305555556,73.44638033138195,609.5680555555556,2516.2,0.9044178,3.3393888,9.678415999999999,231.3277639732221,51.32776397322209,SW,NE,SW,NE
2025-07-06,144,10.221265432098765,-0.8661111111111117,19.46722222222222,57.8056875,73.51675610022917,711.3736111111111,2028.7,0.9280115777777779,3.3393888,9.3520768,263.3014906510404,83.30149065104041,NW,SE,W,E
2025-07-07,144,10.862152777777778,-1.4661111111111107,21.11777777777778,55.361736111111114,73.48910293355556,728.4743055555556,2093.7,0.8047030444444445,3.0085792000000002,10.0181664,279.34608379103713,99.34608379103713,W,E,W,E
2025-07-08,144,12.52837962962963,0.8927777777777774,23.585,49.43795138888889,73.70830583958333,633.2833333333333,2398.7,1.0196237333333333,3.6701984000000003,8.6815168,246.00865178903263,66.00865178903263,NW,SE,SW,NE
2025-07-09,144,13.417631172839506,1.4938888888888888,24.16388888888889,47.721069444444446,73.65079600107639,611.3041666666667,2521.2,0.7263779111111112,2.6688288,7.3493376,232.8381020852282,52.83810208522823,SW,NE,SW,NE
2025-07-10,144,13.68537037037037,3.8099999999999983,20.989999999999995,48.11709722222222,73.35253264684722,519.4638888888888,2528.7,0.8928692666666667,3.0085792000000002,7.3493376,285.5843262489558,105.58432624895579,W,E,W,E
2025-07-11,144,11.358568672839507,3.0161111111111123,19.767222222222227,60.52376388888889,73.38585331345139,582.0854166666667,2553.7,1.0384677111111111,3.0085792000000002,7.6801471999999995,158.63535346761796,338.63535346761796,SE,NW,S,N
2025-07-12,144,10.585848765432099,0.9361111111111123,20.238888888888894,67.55477777777777,73.51026787105556,644.6027777777778,2153.7,1.0016800444444445,4.0099488,8.6815168,229.1889461418796,49.18894614187957,S,N,SW,NE
2025-07-13,144,13.251072530864198,2.093888888888888,23.521111111111107,57.45945138888889,73.62645632295138,722.2243055555556,2031.2,0.9203125555555556,3.6701984000000003,8.0198976,266.6948722007629,86.69487220076292,NW,SE,W,E
2025-07-14,144,13.919490740740741,3.1672222222222226,23.907222222222224,55.34151388888889,73.54461386129861,593.0055555555556,2303.7,0.6660585555555556,2.3380192,7.0095871999999995,276.9519090231815,96.95190902318149,W,E,W,E
2025-07-15,144,13.007233796296296,4.002777777777776,21.932777777777776,58.34879166666666,73.23989520113194,521.2173611111111,2201.2,1.1597583555555555,5.6818784,14.028115199999998,324.96700768160434,144.96700768160434,NW,SE,NW,SE
2025-07-16,144,10.693730709876544,3.9822222222222217,20.753888888888888,77.9858125,73.19748301804167,663.7347222222222,2021.2,1.1323461111111113,4.3407584,7.6801471999999995,178.38173531173516,358.38173531173516,SE,NW,S,N
2025-07-17,144,13.018676697530864,0.6361111111111128,21.54722222222222,60.948541666666664,73.168035535,724.7416666666667,2003.7,1.1406039333333333,4.3407584,9.678415999999999,242.71320838770674,62.71320838770674,W,E,SW,NE
2025-07-18,144,13.439556327160494,4.625000000000002,21.826111111111114,51.027625,73.28330448794445,519.6375,2233.7,1.212533911111111,4.0099488,9.3520768,278.0150912895516,98.0150912895516,NW,SE,W,E
2025-07-19,144,10.672233796296297,2.0727777777777785,19.552777777777774,68.15570833333334,73.3710166922639,517.5541666666667,2478.7,1.1041888,5.6818784,11.3503456,256.34242374845456,76.34242374845456,SW,NE,W,E
2025-07-20,144,11.871967592592592,0.8722222222222223,20.60388888888889,49.095125,73.28053893611111,570.1756944444445,2431.2,1.259038488888889,3.6701984000000003,10.348975999999999,243.63466186501716,63.634661865017165,SW,NE,SW,NE
2025-07-21,144,13.421149691358025,3.1672222222222226,23.39222222222222,50.83938194444445,73.12426879590973,530.6965277777778,2553.7,1.0342146222222224,3.3393888,8.3507072,209.74171678157347,29.741716781573473,SW,NE,SW,NE
2025-07-22,144,14.684344135802469,5.482777777777778,21.589999999999996,49.582875,73.029066555375,587.5020833333333,2553.7,1.1875741777777777,3.0085792000000002,9.3520768,245.65601187962125,65.65601187962125,SW,NE,SW,NE
2025-07-23,144,12.003364197530864,1.9872222222222211,19.46722222222222,56.04103472222222,73.281775909125,612.1201388888888,2553.7,1.3311857777777778,4.0099488,10.0181664,271.21749437023016,91.21749437023016,NW,SE,W,E
2025-07-24,144,11.325972222222223,2.502222222222221,21.35388888888889,58.321958333333335,73.49565465754166,605.9916666666667,2266.2,1.133029088888889,3.3393888,8.6815168,221.1730137561149,41.17301375611487,NW,SE,SW,NE
2025-07-25,144,12.037202932098765,0.8288888888888875,22.27722222222222,52.75875694444444,73.39683556435416,596.0784722222222,2166.2,0.9967439777777778,3.3393888,8.6815168,237.97605185843275,57.976051858432754,SW,NE,SW,NE
2025-07-26,144,10.745999228395062,-0.22222222222222143,22.856111111111115,46.478,73.23362097299305,438.0576388888889,1841.2,0.8253476000000001,4.6805088,11.3503456,220.6828258186674,40.682825818667425,SW,NE,SW,NE
2025-07-27,144,11.144880401234568,-0.8011111111111112,23.49888888888889,49.50921527777778,73.36950692672222,587.0506944444444,2246.2,0.8810413333333333,3.3393888,8.6815168,211.49075740635155,31.490757406351577,S,N,SW,NE
2025-07-28,144,12.978796296296297,-0.30777777777777693,25.215,42.99536111111111,73.6697927083125,656.3215277777778,2006.2,0.8874054444444445,3.3393888,7.6801471999999995,206.18554597369626,26.185545973696264,S,N,SW,NE
2025-07-29,144,13.660046296296295,4.517777777777777,23.542222222222225,57.93345138888889,73.82816758396528,445.59236111111113,2011.2,0.9253728,2.3380192,6.0082176,160.2942765559361,340.2942765559361,SE,NW,S,N
2025-07-30,144,13.53539737654321,8.377777777777776,20.002777777777776,58.29745833333333,73.81253139847222,468.09236111111113,2113.7,1.5360791111111112,3.0085792000000002,7.0095871999999995,183.86011117195795,3.8601111719579535,S,N,S,N
2025-07-31,144,12.550405092592593,2.9522222222222223,22.06222222222222,61.422805555555556,73.70114738738889,406.8597222222222,2083.7,1.2568653777777778,3.0085792000000002,8.0198976,176.1072318621343,356.1072318621343,SW,NE,S,N
2025-08-01,144,12.029004629629629,1.3011111111111104,21.462222222222223,56.14423611111111,73.70106743095833,586.5298611111111,2458.7,1.1241503777777777,4.0099488,10.0181664,207.0331497547751,27.03314975477508,S,N,SW,NE
2025-08-02,144,10.596558641975308,0.33500000000000085,20.753888888888888,50.72833333333333,73.7279022200486,408.4916666666667,2111.2,0.8744599111111111,3.0085792000000002,8.0198976,234.03926304366513,54.03926304366513,SW,NE,SW,NE
2025-08-03,144,10.131682098765433,0.5711111111111103,20.561111111111114,65.48681944444445,73.58176773325,555.4881944444444,2343.7,0.7211314000000001,2.3380192,6.0082176,227.88189509048453,47.881895090484534,S,N,SW,NE
2025-08-04,144,12.287071759259259,3.7238888888888906,21.56888888888889,50.475923611111114,73.33178630477778,424.0993055555556,2316.2,0.9416090444444445,3.0085792000000002,11.019535999999999,174.925427779232,354.925427779232,SE,NW,S,N
2025-08-05,144,12.383043981481482,2.502222222222221,20.025000000000002,45.72548611111111,73.30891641397916,649.6548611111111,2078.7,1.4587163555555556,4.0099488,12.0209056,248.58857012970404,68.58857012970407,W,E,W,E
2025-08-06,144,12.018387345679011,0.20722222222222086,23.692222222222224,45.465090277777776,73.61124343620833,622.3284722222222,2348.7,0.9531575777777778,3.0085792000000002,9.3520768,216.12289930004246,36.12289930004249,SW,NE,SW,NE
2025-08-07,144,11.731520061728395,0.2922222222222241,22.362222222222222,46.745333333333335,73.42726133784028,483.3354166666667,2553.7,1.1681714,4.0099488,9.678415999999999,214.00044518872747,34.00044518872744,SW,NE,SW,NE
2025-08-08,144,11.389116512345678,5.074999999999999,17.96611111111111,46.631569444444445,73.15303664929166,557.3805555555556,2291.2,1.6268530666666667,4.0099488,9.678415999999999,294.20995732544543,114.20995732544543,NW,SE,NW,SE
2025-08-09,144,6.604764660493827,-2.6672222222222213,15.713888888888887,55.71489583333334,73.34296609509722,490.6097222222222,1991.2,1.1758083333333333,4.0099488,7.6801471999999995,271.97526234969337,91.97526234969337,NW,SE,W,E
2025-08-10,144,8.196068672839507,-1.8738888888888896,16.78611111111111,57.70172916666667,73.55989729783333,412.9534722222222,2363.7,1.0442730222222223,3.0085792000000002,6.0082176,282.1349883645938,102.13498836459382,SW,NE,W,E
2025-08-11,144,9.82395061728395,0.0777777777777781,20.067222222222217,63.781125,73.62658801589583,523.6305555555556,2046.2,0.8790855333333334,3.0085792000000002,7.0095871999999995,299.13097225905176,119.13097225905176,N,S,NW,SE
2025-08-12,144,12.979672067901234,2.8661111111111106,23.412777777777777,60.52402083333333,73.62959578868056,522.8840277777778,2343.7,0.8369892666666667,3.0085792000000002,6.6787776,217.54748854595798,37.547488545958004,S,N,SW,NE
2025-08-13,144,13.15139274691358,2.8022222222222206,23.648888888888887,52.01938194444445,73.35150026822917,447.03333333333336,2248.7,1.141349,4.3407584,17.3719744,244.8695075909103,64.8695075909103,S,N,SW,NE
2025-08-14,144,13.608784722222222,4.925000000000001,23.092222222222222,52.24453472222222,73.2852587171736,361.56458333333336,2158.7,1.4223633111111111,7.6801471999999995,12.6914656,299.47840423235186,119.47840423235186,NW,SE,NW,SE
2025-08-15,144,12.828194444444444,3.208888888888891,22.727222222222224,54.454340277777774,73.31673097923611,508.31805555555553,2178.7,0.9828981555555556,4.0099488,7.6801471999999995,239.86164758136192,59.86164758136192,SW,NE,SW,NE
2025-08-16,144,11.516728395061728,3.96,18.866111111111113,60.88615277777778,73.41750900497222,229.95,1738.7,0.7428314666666667,2.3380192,6.347968,180.0236894869001,0.023689486900138945,S,N,S,N
2025-08-17,144,8.27244212962963,1.4077777777777771,20.152777777777782,79.96769444444445,73.47358668270833,358.30069444444445,2376.2,0.6935949777777778,4.0099488,8.3507072,219.51532637956655,39.515326379566545,S,N,SW,NE
2025-08-18,144,10.724976851851851,0.9138888888888906,22.59777777777778,68.44413888888889,73.58690846140279,490.22777777777776,2358.7,0.7843068444444445,2.6688288,7.0095871999999995,233.9440083180964,53.944008318096394,SW,NE,SW,NE
2025-08-19,144,12.55670524691358,0.6788888888888897,25.687222222222218,56.65970138888889,73.81737111418056,607.9361111111111,1866.2,0.6545410666666667,2.3380192,8.0198976,190.04882069567822,10.048820695678216,S,N,S,N
2025-08-20,144,12.399675925925926,2.716111111111113,24.142777777777773,55.56661111111111,73.83873359109722,517.1375,2321.2,1.0066471555555556,5.342128,9.3520768,43.516330546367385,223.51633054636739,E,W,NE,SW
2025-08-21,144,13.911886574074074,3.6811111111111097,23.884999999999998,55.58036111111111,73.77680968729166,450.15833333333336,2253.7,0.9551133777777778,3.0085792000000002,8.0198976,206.78817870349772,26.788178703497692,SE,NW,SW,NE
2025-08-22,144,12.245844907407408,0.44277777777777616,23.542222222222225,58.19123611111111,73.74377827483333,443.6479166666667,2076.2,0.8561436888888889,2.6688288,6.347968,187.08745376181145,7.087453761811446,S,N,S,N
2025-08-23,144,14.10753086419753,4.388888888888888,24.035000000000004,62.77620833333334,73.84140742820139,562.1548611111111,1841.2,1.1300177777777778,4.3407584,8.3507072,148.54772604746688,328.5477260474669,SE,NW,SE,NW
2025-08-24,144,13.326894290123457,2.9311111111111128,23.00611111111111,53.631770833333334,73.66100220427083,492.2416666666667,2136.2,0.9066840444444445,3.6701984000000003,7.3493376,187.06613695125927,7.0661369512592955,S,N,S,N
2025-08-25,144,12.6225,2.1799999999999997,20.797222222222224,58.996118055555556,73.60882357835416,417.7972222222222,1991.2,0.7540695555555555,3.0085792000000002,6.347968,166.6759602580736,346.6759602580736,S,N,S,N
2025-08-26,144,11.411766975308643,4.561111111111112,18.65222222222222,60.84522222222222,73.62596247440972,300.3666666666667,1643.7,0.7236770444444445,1.9982688,5.6818784,145.83366839860616,325.83366839860616,SE,NW,SE,NW
2025-08-27,144,10.131118827160494,7.1561111111111115,14.212222222222222,84.01946527777778,73.41009657352778,205.21041666666667,2051.2,0.5616871333333333,1.9982688,4.6805088,196.481866839833,16.481866839833003,S,N,S,N
