wind_to,n,prop
NE,3233,0.20939119170984455
N,3174,0.2055699481865285
SE,2237,0.14488341968911916
E,2089,0.1352979274611399
NW,1930,0.125
S,1702,0.11023316062176165
W,711,0.04604922279792746
SW,364,0.023575129533678758
